Text,sentiment
તારક મહેતા કા ઉલ્ટા ચશ્મા'  સીરિયલની અભિનેત્રી જેનિફર મિસ્ત્રી બંસીવાલેએ અસિત કુમાર મોદી પર ગંભીર આરોપ લગાવ્યો છે.…,negative
"IPL 2023 : શુભમન ગિલ માટે શુભ દિવસ, દરેક સિઝનમાં નવા રેકોર્ડ",positive
,
,
"તાપી: ભાજપના મહિલા સભ્ય સરિતા વસાવા લાંચ લેતા ઝડપાયા
 ",negative
ન્યૂઝીલેન્ડમાં 4 માળની હોસ્ટેલમાં આગ આગમાં 6 લોકોના મોત,negative
"#CNBCBajar | થી  ભારતીય બજારો માટે સારી શરૂઆતના સકેંત, લગભગ 50 પોઈન્ટ ઉપર",positive
"મધ્યપ્રદેશ: નર્મદા નદીમાં બોટ પલટી

બોટમાં સવાર તમામ લોકો ભાવનગરના હતા

ઘટનામાં ભાવનગરના એક બાળકનું મોત

એક જ પરિવા… ",negative
"રાજકોટમાં મર્સિડીઝે ટક્કર મારતા યુવકનું મોત ! મૃતકના પરિવારજનોએ ન્યાયની કરી માગ
 ",negative
ડભોઈ તાલુકાના નડા ગામે 8 વર્ષનો બાળક નું તળાવમાં ડુબી જતા મૃત્યુ નીપજ્યું.…,negative
ભારતીય નેવીએ સુપરસોનિક બ્રહ્મોસ મિસાઈલનું કર્યુ સફળતાપૂર્વક પરીક્ષણ,positive
UP Municipal Corporation Results : ભાજપને ઉત્તર પ્રદેશ મ્યુનિસિપલ કોર્પોરેશનની ચૂંટણીમાં બમ્પર જીત મળી છે. ,positive
,
,
,
,
બાબા બાગેશ્વર ધામના ધીરેન્દ્ર શાસ્ત્રીને ડોક્ટરે આપ્યો પડકાર ! સોશિયલ મીડિયા પર ચેલેન્જ કરતી પોસ્ટમાં લખ્યું...…,negative
,
"ગોંડલ: ST બસની બ્રેક ફેલ

ગોંડલ બસ સ્ટેન્ડમાં બન્યો બનાવ

બ્રેક ફેલ થતા પૂછપરછ બારી સુધી પહોંચી બસ

બસ સ્ટેન્ડમાં… ",negative
"આવા લોકોએ સ્ટેડીયમમાં ખોટી ભીડ કરવાના બદલે ઘરે રહીને જ મેચ જોવો જોઇએ.
… ",negative
"આ વીડિયો જોયા બાદ તમે હરિયાળી અને પક્ષીઓને રહેઠાણ વૃક્ષોને કાપવાનું પાપ કરશો નહીં .
… ",negative
,
,
ત્ર્યંબકેશ્વર મંદિરમાં બળજબરીપૂર્વક ઘૂસવાનો પ્રયાસ કરનાર વિધર્મીઓ ઝડપાયા ! મંદિરમાં ચાદર લઈ જવાનો કર્યો હતો પ્રયાસ!…,negative
🔆યુનિવર્સિટી ગ્રાન્ટ કમિશન (UGC)દ્વારા શિક્ષકો અને વિદ્યાર્થીઓને વિવિધ માહિતી આપવા 'ઉત્સાહ' નામની નવી વેબસાઈટ લોન્ચ…,positive
"સિવિલ હોસ્પિટલમાં બાળક સારવાર હેઠળ

ગઈકાલે રમતા રમતા બાળક કેનાલમાં પડી ગયું હતું

કેનાલમાં પડી જતા બાળકનું મોત થયું… ",negative
"સુરતમાં ફરી ચેતવણીરૂપ કિસ્સો

રમતા રમતા 4 વર્ષનું બાળક લોખંડનો નટ ગળી ગયું

સુરતના ભેસ્તાન વિસ્તારનો બનાવ

માતા ઘર… ",negative
"ગુજરાત પ્રાકૃતિક ખેતી ક્ષેત્રે સમગ્ર દેશ માટે રોલમોડેલ બન્યું છે: રાજ્યપાલ  
… ",positive
,
"CCTV હોવા છતાં કેસમાં હજુ કોઈ કડી મળી નથી

14મીએ મધર્સ ડેના દિવસે બાળકીને ત્યજી દેવાઈ હતી

કે.ટી.ચિલ્ડ્રન હોસ્પિટલ… ",negative
"રાજકોટમાં માતૃ દિવસે ત્યજેલી બાળકીનું સારવારમાં મોત

ત્રણ દિવસની બાળકીનું સારવારમાં મોત

ત્રણ દિવસથી પોલીસ નિષ્ઠુર… ",negative
કાન્સ ફિલ્મ ફેસ્ટિવલમાં સારા અલી ખાન સિહત આ સેલિબ્રિટીઓ ચમક્યાં.…,positive
"કોર્ટહાઉસમાં લોકો 'રડ્યા, માફી માંગી': ડોનાલ્ડ ટ્રમ્પનો વિચિત્ર દાવો  
… ",negative
"આજથી ચોરાયેલા કે ખોવાયેલા મોબાઇલને શોધવા માટે સરકાર નવી સિસ્ટમ લાગુ કરશે.
… ",positive
,
,
,
"વડોદરા: યુવક પર મગરનો હુમલો

વહેરી નદીમાં માછીમારી કરવા ગયો હતો યુવક

મગરના મોંમાંથી હેમખેમ છૂટી ભાગ્યો યુવક

ઘાયલ… ",negative
"નવસારીમાં ગેસ લીકેજ

ગોપાલનગર પાસે ઓવર બ્રિજ નજીકની ઘટના

JCB મશીન પાઈપને અડી જતા ગેસ લીકેજ થયો

એક કિલોમીટર સુધી… ",negative
,
,
"કચ્છમાં મોડી રાત્રે ભૂકંપનો આંચકો

રાત્રે 1.09 વાગ્યે આવ્યો ભૂકંપનો આંચકો

રિક્ટર સ્કેલ પર 4.2ની તીવ્રતા નોંધાઈ

ખા… ",negative
,
"VIમાં વોડાફોન PLCના રોકાણની વેલ્યૂ ઝીરો
ડબલ થયો ઓબેરોય રિયલ્ટીનો નફો
અનુમાનથી સારા LIC HSGના પરિણામ
EV-2 વ્હીલર થઈ… ",positive
,
"#CNBCBajar | ગ્લોબલ માર્કેટથી મિશ્ર સંકેતો, લગભગ પોણા ટકા નીચે… ",negative
,
,
"અમદાવાદના વસ્ત્રાપુર પોલીસ સ્ટેશનના 2 કર્મીઓ 50 હજારની લાંચ લેતા રંગે હાથે ઝડપાયા
 ",negative
,
"વડોદરામાં દર્દીઓ ભગવાન ભરોસે! SSG હોસ્પિટલમાં રખડતાં શ્વાનના ડેરા
 ",negative
"પૂર્વાંચલના બાહુબલી અને યુપીના પૂર્વ મંત્રી હરિશંકર તિવારીનું નિધન
… ",negative
,
,
તમિલનાડુના કોઈમ્બતુરમાં સવારે કારમાં એક કાર ચાલક દ્વારા  ચાલતી  મહિલા તેની ચેઈન છીનવીને તેને ખેંચી જવાનો પ્રયાસ ક…,negative
"કેટરિનાને છૂટાછેડા આપવાના પ્રશ્ન પર ભડક્યો વિકી
… ",negative
"માવઠાથી થયેલ નુકસાનની સહાય ચૂકવવા ગઢડાના ધારાસભ્ય શંભુનાથ ટુંડિયાએ મુખ્યમંત્રીને લખ્યો પત્ર
… ",negative
,
,
"HD BREAKING NEWS  

ડમીકાંડ માં વધુ બે આરોપીને પકડી પાડતી ભાવનગર પોલીસ   

1 ) સાગર બાલાશંકરભાઇ પંડયા  
2 ) પંકજભાઇ… ",negative
"અમદાવાદમાં બમણી ગતીએ થઈ રહેલો વિકાસ ખેડૂતો માટે બન્યો માથાનો દુખાવો
 ",negative
,
,
"ભાજપ પ્રજા સમક્ષ મુકશે તેનુ રિપોર્ટ કાર્ડ
",positive
,
"નાસિકના ત્રંબકેશ્વર મંદિરમાં ચાદર ચઢાવવાની કોશિશ

 ",positive
"યુટ્યુબર અરમાન મલિકના ત્રણેય બાળકો માટે Uorfi Javed મોકલી ખાસ ભેટ
",positive
"અમદવાદમાં જગન્નાથ ભગવાનની રથયાત્રાને લઈ નવા રથ તૈયાર
",positive
"ભગવાન જગન્નાથના મામેરાના યજમાન ઘનશ્યામ પટેલના પરિવારમાં ખુશી

",positive
,
"સાંસદ રાજેશ ચુડાસમાને સસ્પેન્ડ કરવામાં આવે: ડો. અતુલ ચગ આત્મહત્યા કેસમાં પુત્ર હિતાર્થ ચગની માગ 
… ",negative
"યુએસ એમ્બેસેડર એરિક ગાર્સેટીએ સાબરમતી આશ્રમની મુલાકાત લીધી

",positive
"અતુલ ચગની આત્મહત્યાના સંદર્ભમાં ભાજપના સાંસદ રાજેશ ચુડાસમા વિરુદ્ધ FIR નોંધી

",negative
,
"માત્ર ફાઈલોમાં જ રહેતી 26 યોજનાઓ રાજ્યના કૃષિ વિભાગે કરી બંધ
 ",negative
"Jio-bp એ બેઝ પ્રાઈસ પર નવું ડીઝલ વેરિઅન્ટ રજૂ કર્યું છે, જે ભારતમાં સૌપ્રથમવાર છે.
.
.
.
… ",positive
"પોલીસની ઢીલી નીતિ હશે તો કમિશનરને ભલામણ કરીશ: રાજકોટ હિટ એન્ડ રન કેસમાં રામ મોકરિયાનું નિવેદન
… ",positive
,
"વડોદરા મનપામાં સ્ટાફની અછત વચ્ચે પડી રહ્યા છે કર્મચારીઓના રાજીનામા! 
 ",negative
"આપણા પ્રિયજનને પથારી પર જોવા હંમેશા પીડાદાયક હોય છે, જુઓ આ હૃદયદ્રાવક વીડિયો.
… ",negative
"વડોદરાની ગોત્રીની GMERS હોસ્પિટલમાં AC બંધ હોવાથી 2 દિવસથી તમામ ઓપરેશન બંધ, દર્દીઓને હાલાકી
… ",negative
"વડોદરાના કરજણમાં નવનિર્મિત પશુ ચિકિત્સાલયમાં લોકાર્પણ પહેલાં જ પડી તિરાડ!
 ",negative
અમેરિકન નિર્માતા રોબ માર્શલે નાટુ નાટુ સ્ટાર રામ ચરણ અને જૂનિયર એનટીઆરને લઇને મોટી ઇચ્છા વ્યક્ત કરી છે.…,positive
"મહાઠગ કિરણ પટેલની પત્ની માલિની પટેલના જામીન સેશન્સ કોર્ટે કર્યા મંજૂર
 ",positive
